NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:26:38	226676.59644540
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2271.484	818.068	1001.825	-2302.665	570.624	994.271	-2373.793	634.693	460.117	-2406.685	540.733	487.950	-2757.525	670.839	287.309	-2736.225	607.932	261.824	-2682.275	571.808	43.881	-2468.179	708.650	991.374
-2267.836	818.609	1002.426	-2298.238	571.713	995.090	-2364.692	634.340	460.534	-2397.936	540.181	488.681	-2749.246	671.824	288.289	-2721.875	607.574	264.252	-2672.311	571.089	46.254	-2464.328	709.054	992.020
-2264.117	819.190	1002.931	-2294.285	572.400	996.073	-2355.756	633.870	461.371	-2389.170	539.705	489.575	-2741.187	672.586	289.500	-2713.341	608.158	265.697	-2662.232	570.384	48.628	-2460.550	709.457	992.710
-2260.457	819.812	1003.573	-2290.410	572.873	997.324	-2346.926	633.664	462.188	-2380.405	539.291	490.290	-2732.618	673.312	290.039	-2704.752	608.654	266.782	-2651.677	569.334	50.634	-2456.734	709.719	993.440
-2256.957	820.655	1003.754	-2286.565	573.500	998.522	-2338.102	633.477	462.978	-2371.801	538.877	491.289	-2724.443	674.029	290.591	-2696.263	609.183	267.886	-2641.228	568.711	52.185	-2452.984	709.934	994.259
-2253.330	821.607	1004.036	-2282.441	574.244	999.545	-2329.197	633.257	463.790	-2363.223	538.471	492.103	-2716.153	674.753	290.843	-2686.978	609.360	267.880	-2630.409	567.900	53.574	-2449.228	710.145	995.036
-2249.827	822.241	1004.731	-2278.585	574.862	1000.711	-2320.566	633.020	464.777	-2354.767	538.186	493.039	-2707.123	675.117	290.356	-2678.639	609.801	268.838	-2619.421	567.057	54.849	-2445.475	710.250	995.792
-2246.296	822.907	1005.124	-2274.524	575.647	1001.826	-2312.021	632.978	465.774	-2346.298	537.902	494.015	-2703.326	677.260	291.196	-2674.000	610.669	268.268	-2608.074	566.233	56.093	-2441.772	710.384	996.534
-2242.785	823.466	1005.654	-2270.390	576.388	1002.812	-2303.677	632.981	466.781	-2338.123	537.703	495.065	-2689.911	675.804	289.640	-2665.127	610.898	268.466	-2596.911	565.687	56.581	-2438.110	710.432	997.339
-2241.257	822.428	1006.904	-2266.407	577.171	1003.978	-2295.130	632.844	467.845	-2329.799	537.628	496.010	-2681.059	676.016	288.771	-2655.933	611.056	268.095	-2585.231	564.792	57.567	-2434.458	710.594	998.028
