NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	548.423	269.355	498.128	427.030	179.677	517.738	338.879	293.875	130.420	266.152	240.012	134.468	205.851	328.013	29.290	466.136	119.627	61.683	107.206	601.232	693.494
0.000	0.000	0.000	548.323	269.281	498.137	426.964	179.644	517.842	338.875	293.871	130.433	266.136	239.961	134.399	205.863	328.018	29.250	466.128	119.620	61.689	107.326	601.322	694.020
0.000	0.000	0.000	548.225	269.199	498.146	426.890	179.633	517.940	338.860	293.846	130.444	266.046	240.005	134.370	205.879	328.041	29.295	466.149	119.638	61.717	107.489	601.428	694.526
0.000	0.000	0.000	548.096	269.149	498.176	426.687	179.681	518.034	338.822	293.799	130.460	266.057	239.992	134.412	205.870	328.070	29.298	466.119	119.649	61.730	107.581	601.540	695.000
0.000	0.000	0.000	548.020	269.081	498.201	426.598	179.675	518.152	338.810	293.802	130.465	266.016	240.000	134.403	205.886	328.077	29.305	466.100	119.649	61.701	107.655	601.593	695.456
0.000	0.000	0.000	547.864	269.043	498.212	426.514	179.710	518.230	338.810	293.800	130.487	266.045	239.933	134.436	205.873	328.073	29.272	466.112	119.636	61.734	107.655	601.573	696.022
0.000	0.000	0.000	547.789	269.018	498.281	426.423	179.731	518.310	338.770	293.782	130.504	265.962	240.028	134.424	205.892	328.084	29.272	466.098	119.643	61.725	107.705	601.560	696.591
0.000	0.000	0.000	547.694	269.007	498.292	426.345	179.713	518.390	338.790	293.756	130.525	266.018	239.863	134.387	205.870	328.038	29.234	466.095	119.632	61.751	107.746	601.600	697.018
0.000	0.000	0.000	547.567	268.977	498.292	426.268	179.736	518.462	338.723	293.737	130.531	266.010	239.860	134.348	205.884	328.024	29.220	466.113	119.635	61.783	107.906	601.745	697.548
0.000	0.000	0.000	547.475	268.978	498.333	426.179	179.764	518.563	338.733	293.736	130.551	265.984	239.839	134.389	205.867	328.005	29.182	466.100	119.640	61.839	108.051	601.887	698.071
