NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:27:47	226745.10205250
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	0.000	0.000	0.000	-3788.026	632.231	425.408	-3781.031	528.799	427.211	0.000	0.000	0.000	0.000	0.000	0.000	-3805.160	550.733	42.090	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3786.621	632.003	422.766	-3780.650	528.066	426.345	0.000	0.000	0.000	0.000	0.000	0.000	-3805.032	550.655	41.891	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3783.957	630.838	421.161	-3776.362	526.828	425.273	0.000	0.000	0.000	0.000	0.000	0.000	-3805.366	550.672	41.811	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3779.668	629.308	419.622	-3775.187	526.036	423.060	0.000	0.000	0.000	0.000	0.000	0.000	-3806.225	550.798	41.864	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3782.698	631.730	415.668	-3774.998	525.604	421.183	0.000	0.000	0.000	0.000	0.000	0.000	-3807.669	551.049	42.060	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3776.963	629.652	414.089	-3771.951	524.231	420.158	0.000	0.000	0.000	0.000	0.000	0.000	-3809.760	551.441	42.412	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3775.002	628.415	413.367	-3769.372	523.135	419.130	0.000	0.000	0.000	0.000	0.000	0.000	-3812.560	551.988	42.931	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3773.008	627.266	412.405	-3766.904	521.860	418.740	0.000	0.000	0.000	0.000	0.000	0.000	-3816.130	552.706	43.630	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3771.121	626.005	411.381	-3770.127	521.920	416.707	0.000	0.000	0.000	0.000	0.000	0.000	-3820.533	553.611	44.521	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3769.123	624.522	410.482	-3768.237	520.801	416.245	0.000	0.000	0.000	0.000	0.000	0.000	-3825.830	554.717	45.614	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3767.524	623.352	409.939	-3764.050	519.233	416.972	0.000	0.000	0.000	0.000	0.000	0.000	-3820.212	553.512	44.465	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3766.030	622.201	409.348	-3760.927	517.922	417.820	0.000	0.000	0.000	0.000	0.000	0.000	-3825.561	554.476	45.557	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3764.700	621.050	409.194	-3763.495	517.862	416.713	0.000	0.000	0.000	0.000	0.000	0.000	-3825.762	554.453	45.514	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3763.790	620.156	409.473	-3762.881	517.280	417.160	0.000	0.000	0.000	0.000	0.000	0.000	-3825.539	554.388	45.523	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3762.937	619.300	409.900	-3762.008	516.680	418.112	0.000	0.000	0.000	0.000	0.000	0.000	-3825.557	554.386	45.482	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3762.115	618.602	410.564	-3762.876	516.465	418.896	0.000	0.000	0.000	0.000	0.000	0.000	-3825.354	554.281	45.391	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3761.504	618.100	411.608	-3763.906	516.539	419.491	0.000	0.000	0.000	0.000	0.000	0.000	-3825.233	554.331	45.511	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3760.831	617.685	412.768	-3761.009	516.079	421.428	0.000	0.000	0.000	0.000	0.000	0.000	-3825.294	554.289	45.340	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3760.338	617.502	414.478	-3759.756	515.481	424.173	0.000	0.000	0.000	0.000	0.000	0.000	-3820.180	553.442	43.699	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3759.442	617.251	416.186	-3760.239	515.840	425.757	0.000	0.000	0.000	0.000	0.000	0.000	-3819.991	553.390	43.657	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3758.606	617.246	418.398	-3758.691	515.638	428.614	0.000	0.000	0.000	0.000	0.000	0.000	-3819.953	553.545	43.497	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3757.677	616.934	421.235	-3756.482	515.584	431.526	0.000	0.000	0.000	0.000	0.000	0.000	-3819.921	553.566	43.295	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3756.228	616.885	424.147	-3756.507	515.675	434.108	0.000	0.000	0.000	0.000	0.000	0.000	-3819.685	553.585	43.181	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3754.571	617.037	427.329	-3752.474	515.385	438.392	0.000	0.000	0.000	0.000	0.000	0.000	-3819.238	553.604	43.229	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3752.396	616.988	430.857	-3753.172	515.808	440.955	0.000	0.000	0.000	0.000	0.000	0.000	-3819.247	553.622	42.759	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3749.792	616.875	434.670	-3747.576	515.041	445.623	0.000	0.000	0.000	0.000	0.000	0.000	-3819.108	553.517	42.424	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3746.344	616.458	438.538	-3746.787	515.246	448.341	0.000	0.000	0.000	0.000	0.000	0.000	-3819.705	553.984	41.096	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3742.864	616.019	442.702	-3741.411	514.329	453.574	0.000	0.000	0.000	0.000	0.000	0.000	-3819.287	553.965	40.877	0.000	0.000	0.000
