NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:29:21	226839.36048560
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	111.116	609.437	547.715	444.976	578.291	422.273	401.575	477.950	432.628	162.108	575.266	82.489	214.708	517.584	106.031	415.371	456.322	55.959	-62.089	721.947	581.511
0.000	0.000	0.000	111.128	609.479	547.658	444.976	578.310	422.175	401.624	477.936	432.623	162.093	575.280	82.477	214.760	517.581	106.010	415.371	456.314	55.941	-62.079	721.930	581.451
0.000	0.000	0.000	111.183	609.438	547.668	445.019	578.369	422.160	401.677	477.974	432.600	162.121	575.297	82.476	214.772	517.581	106.012	415.390	456.342	55.954	-62.116	721.906	581.385
0.000	0.000	0.000	111.226	609.420	547.655	445.043	578.383	422.118	401.703	478.052	432.563	162.124	575.327	82.488	214.819	517.657	106.001	415.347	456.357	55.949	-62.092	721.966	581.391
0.000	0.000	0.000	111.231	609.516	547.564	445.096	578.416	422.089	401.695	478.119	432.529	162.080	575.317	82.506	214.754	517.672	105.994	415.369	456.369	55.951	-62.149	721.950	581.329
0.000	0.000	0.000	111.219	609.551	547.560	445.114	578.440	422.051	401.714	478.170	432.519	162.072	575.331	82.434	214.709	517.662	106.035	415.380	456.384	55.950	-62.100	721.955	581.306
0.000	0.000	0.000	111.286	609.582	547.460	445.184	578.472	421.984	401.780	478.176	432.488	162.085	575.374	82.480	214.776	517.693	106.000	415.398	456.373	55.972	-62.042	721.959	581.262
0.000	0.000	0.000	111.330	609.654	547.400	445.192	578.540	421.936	401.852	478.186	432.459	162.066	575.332	82.468	214.775	517.659	106.009	415.372	456.413	55.944	-62.092	721.926	581.252
0.000	0.000	0.000	111.362	609.676	547.383	445.258	578.565	421.899	401.865	478.192	432.438	162.099	575.345	82.470	214.795	517.642	106.012	415.382	456.371	55.953	-62.126	721.901	581.219
0.000	0.000	0.000	111.426	609.635	547.358	445.297	578.587	421.974	401.950	478.199	432.444	162.076	575.331	82.463	214.797	517.662	106.009	415.386	456.388	55.958	-62.039	721.877	581.180
0.000	0.000	0.000	111.430	609.644	547.273	445.287	578.609	421.852	401.977	478.190	432.432	162.129	575.369	82.469	214.804	517.687	106.022	415.404	456.395	55.973	-62.044	721.921	581.165
0.000	0.000	0.000	111.402	609.667	547.239	445.277	578.605	421.868	401.987	478.255	432.423	162.052	575.304	82.483	214.810	517.706	106.019	415.374	456.428	55.991	-62.050	721.935	581.139
0.000	0.000	0.000	111.463	609.668	547.189	445.321	578.659	421.818	401.953	478.287	432.408	162.137	575.423	82.463	214.808	517.757	105.987	415.385	456.428	56.004	-62.055	721.952	581.111
0.000	0.000	0.000	111.506	609.646	547.119	445.323	578.640	421.801	401.957	478.341	432.365	162.054	575.406	82.490	214.833	517.781	106.028	415.357	456.459	56.014	-62.006	721.977	581.055
0.000	0.000	0.000	111.553	609.570	547.136	445.350	578.656	421.768	401.981	478.343	432.361	162.061	575.425	82.428	214.839	517.788	105.981	415.371	456.449	55.996	-62.031	721.953	581.074
0.000	0.000	0.000	111.542	609.562	547.130	445.360	578.680	421.745	402.021	478.331	432.356	162.077	575.429	82.454	214.824	517.733	106.024	415.361	456.420	56.009	-62.044	721.919	581.054
0.000	0.000	0.000	111.538	609.582	547.053	445.373	578.688	421.744	402.049	478.308	432.336	162.072	575.340	82.467	214.869	517.767	106.003	415.376	456.432	56.011	-61.981	721.884	581.020
0.000	0.000	0.000	111.536	609.550	547.030	445.403	578.708	421.765	402.080	478.301	432.332	162.085	575.347	82.489	214.861	517.733	106.018	415.396	456.425	56.012	-61.993	721.849	580.996
0.000	0.000	0.000	111.530	609.580	547.002	445.398	578.726	421.728	402.089	478.301	432.345	162.111	575.352	82.486	214.787	517.722	106.016	415.400	456.453	56.037	-61.982	721.867	580.977
0.000	0.000	0.000	111.512	609.610	546.991	445.428	578.749	421.737	402.080	478.365	432.331	162.061	575.363	82.485	214.884	517.763	106.002	415.365	456.472	56.028	-61.973	721.847	580.946
0.000	0.000	0.000	111.494	609.584	546.984	445.441	578.752	421.729	402.096	478.397	432.296	162.077	575.410	82.458	214.828	517.783	106.021	415.384	456.497	56.031	-62.005	721.874	580.925
0.000	0.000	0.000	111.488	609.562	546.964	445.465	578.785	421.724	402.090	478.426	432.290	162.052	575.411	82.454	214.814	517.823	106.067	415.390	456.476	56.100	-61.978	721.915	580.918
0.000	0.000	0.000	111.472	609.554	546.958	445.492	578.773	421.710	402.082	478.413	432.268	162.100	575.433	82.460	214.806	517.795	106.030	415.396	456.479	56.083	-62.015	721.875	580.880
0.000	0.000	0.000	111.546	609.494	546.989	445.484	578.765	421.705	402.101	478.401	432.284	162.065	575.387	82.501	214.759	517.765	106.068	415.400	456.467	56.085	-62.015	721.856	580.872
0.000	0.000	0.000	111.523	609.451	547.023	445.456	578.748	421.680	402.120	478.330	432.287	162.069	575.357	82.474	214.803	517.730	106.062	415.365	456.443	56.024	-62.028	721.816	580.823
0.000	0.000	0.000	111.464	609.456	547.002	445.489	578.728	421.696	402.161	478.305	432.300	162.073	575.347	82.423	214.840	517.687	106.018	415.390	456.417	55.989	-61.954	721.823	580.856
0.000	0.000	0.000	111.550	609.358	547.054	445.463	578.732	421.670	402.155	478.291	432.303	162.096	575.322	82.438	214.842	517.675	106.021	415.375	456.396	56.002	-62.025	721.796	580.838
0.000	0.000	0.000	111.544	609.385	547.050	445.475	578.744	421.710	402.110	478.290	432.317	162.117	575.390	82.441	214.889	517.746	106.021	415.380	456.402	55.996	-62.003	721.846	580.811
0.000	0.000	0.000	111.475	609.416	547.022	445.455	578.700	421.707	402.094	478.335	432.312	162.117	575.433	82.486	214.819	517.807	106.008	415.397	456.430	55.991	-62.056	721.885	580.833
