NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:50:02	228080.26681630
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2912.534	826.194	1051.731	-2924.209	547.733	1052.172	-2955.669	663.144	546.802	0.000	0.000	0.000	-3049.472	648.287	132.248	0.000	0.000	0.000	0.000	0.000	0.000	-2835.360	608.510	73.448	-3133.326	696.295	1080.711
-2912.263	826.284	1051.762	-2924.194	547.828	1052.212	-2955.534	663.160	546.847	0.000	0.000	0.000	-3049.491	648.290	132.269	0.000	0.000	0.000	0.000	0.000	0.000	-2835.269	608.560	73.411	-3133.258	696.516	1080.725
-2912.123	826.299	1051.814	-2924.126	547.883	1052.052	-2955.438	663.230	546.912	0.000	0.000	0.000	-3049.475	648.268	132.332	0.000	0.000	0.000	0.000	0.000	0.000	-2835.322	608.540	73.399	-3133.161	696.722	1080.793
-2911.905	826.374	1051.738	-2924.070	547.962	1052.078	-2955.324	663.279	546.842	0.000	0.000	0.000	-3049.428	648.280	132.357	0.000	0.000	0.000	0.000	0.000	0.000	-2835.260	608.531	73.415	-3133.053	696.916	1080.769
-2911.791	826.494	1051.724	-2924.105	547.984	1052.089	-2955.165	663.306	546.939	0.000	0.000	0.000	-3049.433	648.319	132.361	0.000	0.000	0.000	0.000	0.000	0.000	-2835.406	608.506	73.386	-3132.959	697.102	1080.785
-2911.612	826.529	1051.825	-2924.128	548.075	1052.361	-2955.118	663.307	546.948	0.000	0.000	0.000	-3049.349	648.314	132.386	0.000	0.000	0.000	0.000	0.000	0.000	-2835.435	608.536	73.335	-3132.876	697.274	1080.779
-2911.472	826.652	1051.755	-2924.175	548.148	1052.357	-2954.995	663.362	546.919	0.000	0.000	0.000	-3049.345	648.271	132.421	0.000	0.000	0.000	0.000	0.000	0.000	-2835.313	608.533	73.343	-3132.856	697.530	1080.820
-2911.372	826.713	1051.755	-2924.179	548.165	1052.423	-2954.924	663.414	546.956	0.000	0.000	0.000	-3049.302	648.320	132.383	0.000	0.000	0.000	0.000	0.000	0.000	-2835.418	608.504	73.365	-3132.851	697.765	1080.873
-2911.243	826.782	1051.683	-2924.252	548.218	1052.485	-2954.938	663.505	546.938	0.000	0.000	0.000	-3049.233	648.267	132.470	0.000	0.000	0.000	0.000	0.000	0.000	-2835.427	608.540	73.367	-3132.861	698.002	1080.899
-2911.175	826.853	1051.712	-2924.309	548.346	1052.551	-2954.861	663.499	547.002	0.000	0.000	0.000	-3049.269	648.285	132.468	0.000	0.000	0.000	0.000	0.000	0.000	-2835.295	608.481	73.381	-3132.868	698.240	1080.935
-2910.942	826.903	1051.747	-2924.257	548.470	1052.651	-2954.774	663.570	547.029	0.000	0.000	0.000	-3049.257	648.322	132.518	0.000	0.000	0.000	0.000	0.000	0.000	-2835.452	608.540	73.355	-3132.873	698.447	1080.980
-2910.790	827.062	1051.730	-2924.335	548.436	1052.593	-2954.579	663.554	547.038	0.000	0.000	0.000	-3049.254	648.264	132.531	0.000	0.000	0.000	0.000	0.000	0.000	-2835.270	608.492	73.399	-3132.814	698.672	1080.931
-2910.641	827.130	1051.794	-2924.331	548.563	1052.737	-2954.640	663.613	547.051	0.000	0.000	0.000	-3049.221	648.300	132.490	0.000	0.000	0.000	0.000	0.000	0.000	-2835.250	608.488	73.415	-3132.751	698.897	1080.921
-2910.531	827.202	1051.745	-2924.498	548.571	1052.712	-2954.490	663.649	547.092	0.000	0.000	0.000	-3049.157	648.290	132.510	0.000	0.000	0.000	0.000	0.000	0.000	-2835.286	608.470	73.458	-3132.705	699.119	1080.888
-2910.464	827.293	1051.720	-2924.561	548.689	1052.785	-2954.491	663.732	547.089	0.000	0.000	0.000	-3049.157	648.288	132.512	0.000	0.000	0.000	0.000	0.000	0.000	-2835.255	608.496	73.416	-3132.668	699.359	1080.906
-2910.223	827.391	1051.713	-2924.684	548.779	1052.754	-2954.494	663.754	547.103	0.000	0.000	0.000	-3049.176	648.292	132.532	0.000	0.000	0.000	0.000	0.000	0.000	-2835.298	608.512	73.391	-3132.676	699.594	1080.899
-2910.207	827.500	1051.796	-2924.674	548.803	1052.774	-2954.516	663.847	547.076	0.000	0.000	0.000	-3049.174	648.308	132.485	0.000	0.000	0.000	0.000	0.000	0.000	-2835.383	608.500	73.362	-3132.713	699.844	1080.924
-2910.205	827.606	1051.778	-2924.733	548.865	1052.787	-2954.602	663.923	547.069	0.000	0.000	0.000	-3049.135	648.233	132.567	0.000	0.000	0.000	0.000	0.000	0.000	-2835.339	608.486	73.412	-3132.749	700.095	1080.948
-2910.115	827.660	1051.713	-2924.809	548.955	1052.796	-2954.615	663.978	547.047	0.000	0.000	0.000	-3049.117	648.224	132.518	0.000	0.000	0.000	0.000	0.000	0.000	-2835.425	608.497	73.446	-3132.826	700.352	1080.973
-2909.959	827.797	1051.681	-2923.223	549.730	1052.894	-2954.568	663.992	547.044	0.000	0.000	0.000	-3049.189	648.266	132.542	0.000	0.000	0.000	0.000	0.000	0.000	-2835.363	608.477	73.409	-3132.844	700.560	1080.956
-2909.873	827.891	1051.683	-2924.965	549.123	1052.818	-2954.581	664.067	546.989	0.000	0.000	0.000	-3049.136	648.230	132.537	0.000	0.000	0.000	0.000	0.000	0.000	-2835.375	608.479	73.410	-3132.865	700.759	1080.951
-2909.873	828.019	1051.610	-2925.035	549.246	1052.873	-2954.652	664.146	546.971	0.000	0.000	0.000	-3049.185	648.219	132.579	0.000	0.000	0.000	0.000	0.000	0.000	-2835.397	608.535	73.430	-3132.873	700.973	1080.932
-2909.862	828.139	1051.606	-2925.154	549.336	1052.886	-2954.644	664.242	546.984	0.000	0.000	0.000	-3049.237	648.265	132.510	0.000	0.000	0.000	0.000	0.000	0.000	-2835.305	608.478	73.460	-3132.890	701.149	1080.919
0.000	0.000	0.000	-2925.212	549.421	1052.899	-2954.646	664.251	546.984	0.000	0.000	0.000	-3049.237	648.270	132.506	0.000	0.000	0.000	0.000	0.000	0.000	-2835.277	608.486	73.469	-3132.911	701.390	1080.914
0.000	0.000	0.000	-2925.330	549.557	1052.910	-2954.634	664.362	546.990	0.000	0.000	0.000	-3049.230	648.237	132.430	0.000	0.000	0.000	0.000	0.000	0.000	-2835.417	608.514	73.471	-3132.975	701.632	1080.887
0.000	0.000	0.000	-2923.630	550.322	1053.035	-2954.904	664.481	546.897	0.000	0.000	0.000	-3049.213	648.222	132.453	0.000	0.000	0.000	0.000	0.000	0.000	-2835.414	608.549	73.437	-3133.048	701.898	1080.862
0.000	0.000	0.000	-2925.290	549.786	1052.915	-2954.865	664.521	546.915	0.000	0.000	0.000	-3049.228	648.254	132.382	0.000	0.000	0.000	0.000	0.000	0.000	-2835.243	608.504	73.509	-3133.144	702.146	1080.883
0.000	0.000	0.000	-2925.114	549.554	1053.586	-2954.828	664.581	546.931	0.000	0.000	0.000	-3049.259	648.233	132.375	0.000	0.000	0.000	0.000	0.000	0.000	-2835.262	608.505	73.514	-3133.213	702.324	1080.862
0.000	0.000	0.000	-2923.326	550.423	1053.578	-2954.938	664.681	546.894	0.000	0.000	0.000	-3049.259	648.236	132.374	0.000	0.000	0.000	0.000	0.000	0.000	-2835.414	608.533	73.481	-3133.267	702.543	1080.846
