NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:16:07	226045.84438660
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Lateral Gastroc	Tibialis Anterior
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Lateral Gastroc	Tibialis Anterior	
0.056611	0.052339	-0.260471	-0.000763	
0.037995	0.032502	-0.377661	-0.004425	
0.039216	0.038911	-0.392309	-0.007477	
0.044404	0.041963	0.006866	-0.012054	
0.042878	0.027313	0.578469	-0.011139	
0.036775	0.016632	0.314183	-0.000763	
0.045930	-0.000153	-0.005341	0.001984	
0.059052	-0.007172	-0.172580	0.021210	
0.041047	-0.004120	-0.397192	0.012054	
0.024567	0.007782	-0.359045	0.000763	
0.013885	0.012054	-0.023346	0.010223	
-0.006256	0.026093	0.093843	-0.013580	
-0.036469	0.042878	0.198520	-0.043489	
-0.029755	0.045014	0.302892	-0.017242	
-0.029144	0.001984	0.309606	-0.003510	
-0.043489	-0.033723	0.003815	-0.004120	
-0.028229	-0.061494	-0.106050	-0.013580	
0.003204	-0.044099	-0.102999	-0.010223	
-0.006866	-0.041657	0.305333	-0.014496	
0.015106	-0.001984	0.215304	-0.009308	
0.028229	0.046540	-0.030060	0.008392	
-0.007782	0.076753	-0.001373	0.005035	
-0.050508	0.139620	-0.048676	0.003815	
-0.056306	0.153963	-0.006866	-0.004120	
-0.024872	0.111544	0.042268	-0.000763	
-0.095980	0.030975	-0.076447	0.001068	
-0.180820	-0.069123	-0.154879	-0.000763	
-0.178683	-0.189059	-0.226292	-0.011749	
-0.012360	-0.210727	0.124971	0.000153	
0.078889	-0.161899	0.309606	-0.006256	
0.071259	-0.085908	0.089265	-0.007172	
0.090486	-0.005646	0.131075	-0.000763	
0.086213	0.026703	0.006256	-0.002899	
0.092927	0.005035	-0.072785	-0.006256	
0.117037	0.019073	-0.075837	0.002594	
0.043794	0.040742	-0.205539	-0.003510	
-0.014801	0.062104	-0.272068	-0.013275	
0.020599	0.072785	-0.421912	-0.010529	
0.120089	0.087129	-0.276340	-0.000153	
0.251316	0.070649	-0.009613	0.001068	
0.245823	0.059052	0.110323	-0.013885	
-0.037080	0.128328	0.079194	-0.015411	
-0.291600	0.198215	-0.072175	-0.015106	
-0.320897	0.168918	0.113070	-0.015106	
-0.308995	0.062104	0.054780	-0.031587	
-0.211337	-0.090486	0.142366	-0.028229	
0.016327	-0.207065	0.236973	-0.028839	
0.014191	-0.238194	0.195163	0.000458	
-0.187228	-0.218662	0.109713	0.014496	
-0.287633	-0.308690	0.080110	0.009003	
-0.045930	-0.300756	0.050813	-0.001984	
0.260471	-0.002899	0.039216	0.004120	
0.344702	0.029144	0.024261	-0.005035	
0.200961	-0.071565	0.024261	-0.001984	
0.036469	-0.017853	0.037385	-0.000153	
-0.001678	0.037385	0.105440	-0.003510	
-0.064240	0.069428	0.040132	-0.005951	
-0.056916	0.131075	-0.077058	-0.012970	
-0.041963	0.144808	-0.237583	-0.008087	
-0.075837	0.108187	-0.466163	0.002899	
-0.029144	0.123446	-0.205234	0.027008	
-0.017242	0.111544	0.253452	0.013885	
0.020905	0.106966	-0.238499	-0.024567	
0.008698	0.070649	0.065156	-0.019989	
-0.012360	0.057527	0.282140	0.004425	
-0.005341	0.045320	0.119783	0.000763	
0.023651	0.017853	-0.008087	-0.010529	
0.031281	-0.019073	0.142061	-0.028534	
0.051118	-0.023346	0.296178	-0.017548	
0.088655	-0.017548	0.254673	-0.015717	
0.092927	-0.015106	0.158542	-0.011444	
0.030670	-0.023956	0.037690	-0.013580	
-0.029755	-0.019684	0.031281	-0.010223	
-0.045320	-0.009003	-0.003204	-0.007172	
-0.074006	-0.005341	-0.032197	-0.010223	
-0.071259	-0.006866	-0.036775	-0.008392	
-0.082246	0.042573	0.002594	-0.010223	
-0.067292	0.061189	0.084992	-0.001373	
-0.037385	0.047456	0.035554	-0.001984	
-0.001678	0.024567	-0.094759	-0.003510	
0.026093	-0.007477	-0.164950	-0.005035	
0.130770	-0.019379	-0.251621	0.011444	
0.213168	-0.017853	-0.228733	-0.012360	
0.215304	0.061189	-0.037995	-0.015106	
0.130770	0.088349	0.230259	-0.004120	
0.054170	0.053254	0.341344	-0.002899	
0.010529	0.010834	0.337682	0.010834	
-0.084382	-0.024261	-0.237583	0.019379	
-0.228123	-0.099642	-0.484779	-0.007172	
-0.335851	-0.156099	-0.182651	-0.029449	
-0.354773	-0.135958	0.012054	-0.012360	
-0.212558	-0.128023	-0.110323	-0.000763	
-0.009003	-0.100252	-0.271152	-0.007782	
0.046540	-0.017548	0.287938	-0.001984	
0.106661	0.062715	0.410316	-0.001984	
0.087129	0.056916	-0.059663	-0.014496	
0.048982	0.040742	0.125582	-0.016632	
0.034638	0.020905	-0.086518	-0.017548	
-0.007477	0.013885	-0.313268	-0.012054	
-0.059968	0.025787	-0.543374	-0.014191	
-0.023651	0.055390	-0.480507	0.005341	
0.041352	0.063325	-0.127413	0.001678	
0.068818	0.072175	0.311131	0.016937	
0.011749	0.113680	0.182956	0.004120	
0.048676	0.121309	0.311131	-0.002899	
0.135042	0.076753	0.526283	-0.003510	
0.136568	0.032502	0.323339	-0.005951	
0.140841	0.039216	0.207065	-0.015106	
0.086213	0.017853	0.167087	-0.020294	
-0.061494	-0.028534	0.160678	-0.013275	
-0.252232	-0.115816	-0.008087	-0.018463	
-0.272068	-0.205844	-0.055390	-0.003204	
-0.130465	-0.246128	-0.086518	-0.008392	
-0.012054	-0.184787	-0.139620	-0.024261	
0.027924	-0.135042	-0.187533	-0.030365	
0.032807	-0.020905	-0.116732	-0.009918	
-0.001068	0.089265	0.164950	0.006866	
0.009003	0.099642	-0.009003	0.005341	
0.032502	0.055085	-0.092927	0.001678	
0.044404	0.041047	-0.070344	0.000458	
0.049287	0.037080	0.004730	0.003204	
0.045930	0.045014	0.323949	0.018463	
0.017853	0.044709	0.259861	-0.003510	
-0.005951	0.022430	0.047761	-0.014191	
-0.009003	0.011749	0.161899	0.003204	
0.012054	0.012054	0.010529	-0.007477	
0.020294	0.014191	-0.087129	0.002594	
-0.002289	0.010529	-0.166781	-0.009918	
-0.007782	0.027008	-0.189975	-0.003815	
-0.005951	0.025177	-0.187228	-0.015106	
0.022125	0.023041	-0.084992	-0.022736	
0.026703	0.015106	-0.006866	-0.004425	
0.006256	0.016022	0.024872	0.008087	
-0.020294	0.006256	-0.023041	-0.002899	
-0.011139	0.012970	-0.015717	-0.001984	
-0.001678	0.019989	0.010834	-0.013275	
0.013275	0.033113	0.085908	-0.007782	
0.019684	0.030365	0.053559	-0.013885	
0.010834	0.037080	0.033418	-0.001678	
-0.003204	0.032197	0.057221	-0.005035	
0.008392	0.022430	0.075837	-0.007477	
0.052644	0.006256	0.048676	-0.005951	
0.122835	0.018463	-0.006866	-0.004120	
0.119478	0.042268	0.089570	-0.003815	
0.046540	0.018158	0.230259	-0.005646	
-0.021820	-0.003510	-0.162509	-0.001373	
-0.081025	-0.029144	-0.302892	-0.010223	
-0.125887	-0.023041	-0.369726	0.010223	
-0.218356	-0.051728	-0.470741	0.012665	
-0.249485	0.050202	0.186923	0.014191	
-0.160678	0.070649	0.139620	-0.000763	
0.032502	-0.066377	0.075532	-0.020599	
0.120089	-0.149080	0.241856	-0.030670	
-0.025482	-0.114595	0.103304	-0.025787	
-0.095980	-0.102083	0.094149	-0.020599	
-0.075837	-0.087739	0.066682	-0.017853	
-0.063935	-0.020294	0.045625	-0.012054	
-0.057221	0.072785	0.018463	-0.005951	
-0.068208	0.154879	-0.009308	-0.003510	
-0.094454	0.178988	-0.052033	-0.013580	
-0.041047	0.090180	-0.038301	0.000153	
0.121920	-0.009918	-0.113070	0.004425	
0.367895	-0.048676	-0.093843	0.000458	
0.415198	-0.021515	0.125277	-0.017853	
0.264744	0.099337	0.044709	-0.001373	
0.078584	0.118563	-0.044709	-0.013885	
-0.046235	0.118868	0.099337	-0.005035	
-0.135653	0.108492	0.224766	0.007172	
-0.188144	0.007172	0.077363	0.014191	
-0.287633	-0.132601	0.204013	-0.005646	
-0.378881	-0.233311	-0.063935	-0.001984	
-0.307775	-0.259556	0.010223	-0.013580	
-0.069123	-0.285192	0.083467	-0.017242	
0.106966	-0.197909	0.025482	-0.007782	
0.086823	-0.052339	-0.040132	-0.004120	
0.068513	-0.009003	-0.023346	0.000763	
0.104219	0.060578	0.033418	-0.001678	
0.126802	0.066987	-0.056611	-0.003204	
0.115511	0.069123	-0.133821	-0.019379	
0.106661	0.086213	-0.094759	-0.009613	
0.068208	0.097811	-0.026093	-0.013580	
-0.034028	0.122530	0.027924	-0.009308	
-0.080415	0.113680	0.040132	0.004730	
-0.048066	0.086518	0.102083	0.002899	
-0.030365	0.069123	0.186618	-0.011139	
-0.039521	0.082246	0.093843	0.003204	
-0.055085	0.056306	0.017242	0.012970	
-0.031281	0.016632	-0.009613	0.008087	
-0.020294	-0.030975	-0.176242	0.000763	
-0.029449	-0.087739	-0.247959	-0.012970	
0.022125	-0.132906	-0.192111	-0.024567	
0.078889	-0.063935	-0.148470	-0.016632	
0.068513	0.007782	-0.090486	-0.013275	
0.059968	0.027008	-0.128328	-0.019989	
0.042268	0.019989	-0.093232	-0.004120	
0.017853	0.013275	0.219578	-0.000763	
0.016632	0.029144	0.307775	-0.001984	
0.009613	0.023346	0.074616	-0.016327	
0.010529	0.031281	0.172275	-0.004120	
0.003204	0.010834	0.226597	-0.009003	
-0.005341	0.008698	0.141756	-0.007172	
0.004730	0.006561	0.022736	-0.006256	
0.017853	0.008698	0.023041	-0.006256	
0.022736	0.000153	-0.095980	-0.009918	
0.032197	0.002594	-0.146639	-0.002899	
0.023651	-0.013580	-0.048371	-0.003510	
0.006866	-0.015411	-0.070039	0.001984	
-0.031281	-0.009003	0.137789	0.005951	
-0.055390	-0.005035	0.108797	-0.002899	
-0.057221	-0.002289	0.248875	-0.003204	
-0.056916	0.005951	0.088655	-0.003510	
-0.045320	0.033113	-0.325780	0.005341	
-0.037080	0.022736	-0.032502	0.008392	
-0.023041	0.024261	0.066377	0.002594	
0.004730	0.010834	-0.254978	-0.017242	
0.023651	0.001678	-0.193027	-0.016327	
0.030670	-0.010834	-0.209506	-0.016022	
0.058442	-0.008087	0.266575	-0.009003	
0.075227	-0.019989	0.251316	-0.015717	
0.073091	-0.015717	0.071565	-0.000763	
0.037690	-0.012970	0.041657	-0.014496	
-0.022430	0.018768	-0.108797	-0.026093	
-0.069123	0.034028	-0.234226	-0.016022	
-0.099947	0.048982	-0.179599	-0.005646	
-0.130465	0.085298	0.174106	-0.005646	
-0.137484	0.068818	0.149385	-0.009918	
-0.159152	0.019379	0.009918	-0.000153	
-0.175632	-0.030975	-0.060273	-0.006256	
-0.124666	-0.088655	-0.016937	-0.016327	
-0.039216	-0.136263	0.024261	-0.011444	
0.085908	-0.075532	0.190890	0.002289	
0.128939	-0.019379	0.110323	-0.000763	
0.117342	-0.017853	-0.156405	-0.020294	
0.111238	-0.024261	0.063020	-0.016327	
0.082551	-0.001068	0.055085	-0.015717	
0.079804	0.008698	0.082551	-0.012970	
0.146029	0.032502	0.108797	0.000763	
0.108492	0.066072	-0.039521	0.005951	
-0.038301	0.096590	0.004425	0.006561	
-0.144197	0.096590	0.132296	-0.002899	
-0.090486	0.075532	-0.052033	0.001068	
-0.033418	0.100252	0.000153	-0.005951	
-0.075532	0.134432	0.050813	0.004730	
-0.049592	0.011749	-0.027618	-0.021515	
