NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:22:49	226447.36453350
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.187228	-0.013580	0.013885	-0.031892	
-0.099031	0.033418	-0.274509	-0.020294	
-0.027008	0.045014	0.238804	-0.027618	
0.014801	0.059968	0.307164	-0.013580	
0.049897	0.056611	0.297704	-0.006866	
0.052033	0.049287	0.416419	-0.005646	
0.018158	0.045014	0.385900	-0.014191	
0.006561	0.017242	-0.164645	-0.005646	
-0.011444	-0.003204	-0.229649	0.000153	
-0.014801	-0.009918	-0.027008	-0.007172	
-0.008392	-0.002289	0.013275	-0.009613	
0.013275	0.014191	0.011139	-0.009308	
0.019073	0.012360	0.358435	-0.012970	
0.013275	0.004120	0.429542	-0.009308	
0.011139	0.002289	-0.088655	0.001068	
0.009003	-0.006866	-0.366980	-0.001678	
0.010834	-0.009613	-0.409400	0.008392	
-0.008087	-0.027924	-0.341954	0.015106	
-0.026093	-0.034944	-0.007782	0.006866	
-0.032197	-0.025482	0.259251	-0.019073	
0.016937	-0.019989	0.395361	-0.013580	
0.034944	-0.028534	0.121614	-0.019073	
0.031281	0.001068	0.142061	-0.009003	
0.030060	-0.003510	0.178378	-0.023346	
0.040742	0.008087	0.194552	-0.013275	
0.036469	0.008392	0.026093	-0.018158	
0.035859	0.023041	-0.052033	-0.008392	
0.028229	0.033418	-0.103914	0.008698	
0.022125	0.023956	-0.138399	0.000153	
0.021820	0.012054	-0.543984	-0.008087	
-0.020905	0.001678	-0.719769	-0.017853	
-0.042878	0.009308	-0.727703	-0.011139	
-0.039826	0.015717	-0.531167	-0.007172	
-0.039521	0.044404	0.169528	0.002289	
-0.067292	0.056611	0.910811	0.005951	
-0.061799	0.059052	0.951400	0.003204	
-0.027313	0.026093	0.479897	-0.010223	
-0.015411	-0.001373	0.131685	0.008392	
-0.047456	-0.019073	0.027313	-0.007782	
-0.052949	-0.014801	-0.169833	0.002594	
-0.057832	-0.051728	-0.218662	0.001678	
-0.026093	-0.079804	0.006561	-0.009003	
0.019684	-0.077363	-0.097811	-0.011444	
0.074006	-0.043489	-0.040132	-0.017853	
0.070954	-0.031892	-0.123446	-0.015106	
0.018158	-0.026093	0.176852	-0.001984	
-0.033723	0.003204	0.419471	0.001068	
-0.037080	0.019989	-0.167392	-0.002899	
0.004425	0.014496	0.168612	-0.003510	
0.036775	0.003815	-0.224461	-0.005951	
0.061799	0.005646	-0.558022	-0.000153	
0.062715	-0.005341	-0.026398	-0.004425	
0.040132	0.004425	-0.055696	-0.003510	
-0.019989	0.024872	-0.285802	-0.017242	
-0.051423	0.028229	0.147860	-0.009003	
-0.069734	0.030670	0.141146	-0.011444	
-0.052033	0.021820	0.153658	-0.003204	
-0.061189	-0.005646	0.054475	-0.002289	
-0.064240	-0.005341	0.435950	-0.005646	
-0.050508	-0.019379	0.766766	-0.020599	
0.036469	-0.022430	0.137178	-0.022736	
0.069428	-0.006866	0.208285	-0.009308	
0.038606	0.016022	-0.015411	0.007172	
0.032197	0.022430	-0.311437	0.002899	
0.024261	0.030975	-0.386206	-0.010223	
0.013275	0.026398	-0.754864	-0.014496	
0.009918	0.011749	-0.654154	0.013885	
0.074616	0.004425	-0.032197	0.022430	
0.122530	0.006561	0.395361	0.008087	
0.104830	0.019989	0.164340	-0.014496	
0.063325	0.011139	-0.004425	-0.028534	
0.021210	0.026398	0.077058	-0.016327	
-0.019684	0.006256	0.029144	-0.017853	
-0.067903	0.022430	0.190280	-0.013580	
-0.089570	0.090486	0.288854	-0.016022	
-0.075227	0.076753	0.160373	-0.001373	
-0.044099	0.013275	-0.069123	0.012665	
-0.060273	-0.039521	-0.124971	0.027618	
-0.085298	-0.057221	-0.334325	0.017242	
-0.130159	-0.049287	-0.264439	-0.017853	
-0.134737	-0.035859	-0.121614	-0.026093	
-0.103609	-0.026398	0.100863	-0.014191	
-0.069734	-0.030975	0.379797	-0.004425	
-0.051423	-0.041047	0.491493	-0.000153	
-0.050202	-0.015717	0.497597	-0.013275	
-0.054170	0.021820	0.149996	-0.019989	
-0.021820	0.044099	-0.245518	-0.003510	
0.001678	0.020294	-0.624247	-0.008392	
0.030670	0.016327	-0.507362	0.016022	
0.041352	0.007172	0.556191	0.009918	
0.077058	0.014496	-0.002289	-0.015106	
0.118563	0.010223	-0.197909	-0.046235	
0.084077	0.011749	0.104830	-0.017548	
0.036469	0.010834	0.244297	0.017242	
0.016327	0.013885	0.122530	0.005341	
0.008698	0.008698	0.083161	-0.017548	
0.001068	0.004120	0.052339	-0.013580	
0.006256	-0.001678	0.045014	-0.014496	
0.019073	-0.012970	0.045625	-0.013275	
0.026093	-0.009613	-0.015106	0.003815	
0.018463	-0.008087	-0.194247	0.008087	
0.003815	-0.007782	-0.205844	0.009308	
0.067292	-0.009613	-0.187533	0.006866	
0.002289	0.011749	0.074616	0.000153	
-0.124056	0.028229	0.214389	-0.006256	
-0.041352	0.041963	-0.106661	-0.004120	
0.017242	0.052033	-0.395666	-0.023346	
0.027313	0.027008	-0.418250	-0.024567	
-0.000153	-0.015106	-0.040437	-0.004425	
-0.006866	-0.049897	0.092011	-0.000763	
-0.016327	-0.055390	0.485085	-0.002899	
